Client Detail,,License Detail,,,,,,,Year 1,,,,Year 2,,,,Year 3,,,,,,,,,,,User Ddetail,,,,,,,,,,,,,
Brand,Billing Detail,Player Name,CMS Version ,ID,Screen,Physical,License,Status,IV 1,Period 1,Start 1,End 1,IV 2,Period2,Start 2,End 2,IV 3,Period 3,Start 3,End 3,IV 4,Period 4,Start 4,End 4,Active ,Exp,Alert,Registered Account,Password,Player SKU,Note,Note 2,Account Link,,,,,,,,
BTO,BIg Tree Outdoor,ZippyWall,4.0.8+build-auto v.5.5.0 MSI 5.5.0 14.2.0,125,,5400x1920,CS Play,1 Online/Offline,QT156 / IX24-19,12,10/6/2024,10/6/2025,QT423 / IX25-65,12,10/6/2025,10/6/2026,QT-000949,12,10/6/2026,9/6/2027,,,,,9/6/2027,380.00,NO,faezan.ajlan@bigtree.com.my,#N/A,CMP0023,,,CS Play (cityscreen.cloud),,,,,,,,
KLIATV,Rimbun Hybrid TV Sdn Bhd,Z_CIX_OfficeTest,#N/A,#N/A,,#N/A,CS Play,6 Not Tracked,,11,1/7/2025,30/6/2026,,,,,,,,,,,,,30/6/2026,36.00,NO,cms@klia-tv.com.my,,,,,,,,,,,,,
Mitsubishi,Team Moxim Sdn Bhd,"Yee Fatt Automobile, Segamat - SC 01",4.4.0+build-auto v.5.9.1,125,,1980x1080,CS SignHub,1 Online/Offline,IX25-0146,13,1/8/2025,1/9/2026,,,,,,Yes,,,,,,,1/9/2026,99.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,1Borneo MC-BM 1 - SF,4.3.0+build-auto v.5.8.0 MSI 5.7.0,326,,1080x1920,CS SignHub,1 Online/Offline,IX25-0028,36,1/4/2025,1/4/2028,,,,,,,,,,,,,1/4/2028,677.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,1Borneo MC-BM 2 - Demo TV,4.0.7+build-auto v.5.3.4 MSI 5.3.4,327,,1920x1080,CS SignHub,1 Online/Offline,IX25-0028,36,1/4/2025,1/4/2028,,,,,,,,,,,,,1/4/2028,677.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,1Borneo MC-BM 3 - MIRA,4.5.0+build-auto v.5.9.2,328,,,CS SignHub,1 Online/Offline,IX25-0028,36,1/4/2025,1/4/2028,,,,,,,,,,,,,1/4/2028,677.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,AEON AU2 MEPLite-EN 01 - Brandwall-P1,,646,,7680x2160,CS SignHub,1 Online/Offline,IX25-0330,36,17/11/2025,17/11/2028,,,,,,,,,,,,,17/11/2028,907.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,AEON AU2 MEPLite-EN 02 - DS01,,647,,1920x540,CS SignHub,1 Online/Offline,IX25-0330,36,17/11/2025,17/11/2028,,,,,,,,,,,,,17/11/2028,907.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,AEON AU2 MEPLite-EN 03 - DS02,,648,,1920x540,CS SignHub,1 Online/Offline,IX25-0330,36,17/11/2025,17/11/2028,,,,,,,,,,,,,17/11/2028,907.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,AEON Bandaraya Melaka MEP-EN 1 - SF,4.3.0+build-auto v.5.8.0 MSI 5.7.0,522,,1080x1920,CS SignHub,1 Online/Offline,IX25-0028,36,1/4/2025,1/4/2028,,,,,,,,,,,,,1/4/2028,677.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,AEON Bandaraya Melaka MEP-EN 2 - P2 (Postpaid),"4.3.0+build-auto	v.5.8.0 MSI 5.7.0",523,,1920x1080,CS SignHub,1 Online/Offline,IX25-0028,36,1/4/2025,1/4/2028,,,,,,,,,,,,,1/4/2028,677.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,AEON Big Kepong MEP-EN 1 - P2 (1st Left),"4.3.0+build-auto	v.5.8.0 MSI 5.7.0",270,,,CS SignHub,1 Online/Offline,IX25-0028,36,1/4/2025,1/4/2028,,,,,,,,,,,,,1/4/2028,677.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,AEON Big Kepong MEP-EN 2 - Hotlink,"4.3.0+build-auto	v.5.8.0 MSI 5.7.0",269,,,CS SignHub,1 Online/Offline,IX25-0028,36,1/4/2025,1/4/2028,,,,,,,,,,,,,1/4/2028,677.00,NO,,,,,,,,,,,,,,
Maxis,Maxis Broadband Sdn Bhd,AEON Big Kepong MEP-EN 3 - SF,"	4.3.0+build-auto	v.5.8.0 MSI 5.7.0",271,,,CS SignHub,1 Online/Offline,IX25-0028,36,1/4/2025,1/4/2028,,,,,,,,,,,,,1/4/2028,677.00,NO,,,,,,,,,,,,,,
